Headline,Date,Source,Company,Score,sector,Sentiment
U.S. markets open in 5h 22m,2026-06-16,Yahoo Finance,Markets,0.0,Finance,Neutral
"Elon Musk warns America will ‘1,000%’ go bankrupt. Now he’s the world’s 1st trillionaire",2026-06-16,Yahoo Finance,Elon Musk,0.0,Technology / EV,Neutral
Elon Musk's $1 trillion fortune is so vast that Jeff Bezos is now closer in wealth to the average American,2026-06-16,Yahoo Finance,Elon Musk,-0.05,Technology / EV,Negative
"The Retiree Who Chose $65,000 Instead of $120,000 and Ended Up Richer",2026-06-16,Yahoo Finance,Unknown,0.0,General Finance,Neutral
3 High-Yield Dividend Stocks to Buy Hand Over Fist in June,2026-06-16,Yahoo Finance,Dividend,0.0,Investment / Finance,Neutral
"Kiyosaki warns Americans are victims of a ‘slow, invisible heist’ they won’t notice until too late. Protect yourself now",2026-06-16,Yahoo Finance,Unknown,-0.3,General Finance,Negative
Costco’s dominance shows why its Pensacola debut matters,2026-06-16,Yahoo Finance,Costco,0.0,Retail,Neutral
‘It sounds like crazy’: Dave Ramsey warns not to sacrifice retirement for tithing. Build your wealth and give generously,2026-06-16,Yahoo Finance,Unknown,-0.6,General Finance,Negative
The S&P 500 Is Doing Something Unseen in More Than 100 Years -- Here's What History Says Happens Next,2026-06-16,Yahoo Finance,Unknown,0.25,General Finance,Positive
Market Correction Ahead: Warren Buffett's Historical Warning for Investors,2026-06-16,Yahoo Finance,Unknown,0.0,General Finance,Neutral
Dave Ramsey says most millionaires just copied the guy in the next cubicle — not debating the perfect portfolio,2026-06-16,Yahoo Finance,Unknown,0.5,General Finance,Positive
